"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 6000ML",BAXTER HOSPITALAR LTDA,PN149H6,30,335958,125-01684/2011-01,19/07/2011,São Pedro da Aldeia - RJ
Medicamento,Empresa,No lote,"Quantidade Roubada/Furtada/Extraviada",No Nota Fiscal,No Boletim de Ocorrência,"Data do rouboou extravio",Local do roubo ou extravio
"DIANEAL PD-2 (25+ 5,38+ 4,48+0,183+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 6000ML",BAXTER HOSPITALAR LTDA,PN148X2,60,335970,125-01684/2011-01,19/07/2011,São Pedro da Aldeia - RJ
"DIANEAL PD-2 (25+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN148F7,32,337672,125-01684/2011-01,19/07/2011,São Pedro da Aldeia - RJ
"DIANEAL PD-2 (25+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 6000ML",BAXTER HOSPITALAR LTDA,PN146L0,90,337673,125-01684/2011-01,19/07/2011,São Pedro da Aldeia - RJ
"DIANEAL PD-2 (25+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 6000ML",BAXTER HOSPITALAR LTDA,PN146L0,51,337672,125-01684/2011-01,19/07/2011,São Pedro da Aldeia - RJ
"DIANEAL PD-2 (25+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 6000ML",BAXTER HOSPITALAR LTDA,PN149A6,60,335993,125-01684/2011-01,19/07/2011,São Pedro da Aldeia - RJ
"DIANEAL PD-2 (25+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 6000ML",BAXTER HOSPITALAR LTDA,PN149A6,30,335958,125-01684/2011-01,19/07/2011,São Pedro da Aldeia - RJ
DIETAMINA DRG FR 50,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1103094,6,158942,970929,30/08/2011,Carté-MG
"",CIMED Indústria de Medicamentos,,,,,,"Rua Refinaria GabrielPassos, 437,"
"DILTIN 7,5 MG/ML SOL. OR. FR. 20ML",Ltda,,,,,,"Petrolândia –Contagem/MG"
"DILTIN 7,5 MG/ML SOL. OR. X 20 ML","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",4153/10,150,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
"DILTIN 7,5 MG/ML SOL. OR. X 20 ML","CIMED Indústria de MedicamentosLtda",163524,12,,2011-1380465,21/10/2011,"Rua Refinaria GabrielPassos, 437,Petrolândia –Contagem/MG"
DIMETAPP EXPECTORANTE,"WYETH INDÚSTRIAFARMACÊUTICA LTDA",66204,48,18052,89368,14/02/2011,Governador Valadares - MG
DIMETAPP EXPECTORANTE,"WYETH INDUSTRIAFARMACEUTICA LTDA",72088,48,25251,"5,82011E+11",29/11/2011,DECARGA - BA
DIMETAPP EXPECTORANTE,WYETH IND. FARMACÊUTICA,72088,48,25251,582011000380,29/11/2011,"CONCEIÇÃO DO JACUIPE -BA"
"DIMORF 0,2 MG/ML - SOL INJ - 50AMP X 1 ML","CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",10128820,2 cxs,0443223,447/2011,03/05/2011,Registro - SP
"DIMORF 1 MG/ML - SOL INJ - 50 AMPX 2 ML","CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",11020880,20 cxs,0443225,447/2011,03/05/2011,Registro - SP
DIMORF 10 MG COM. 5 BL X 10,"CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",11010174,2 cxs,0443994,447/2011,03/05/2011,Registro - SP
"DIMORF 10 MG/ML - SOL INJ - 50AMP X 1 ML","CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",11031700,2 cxs,0443223,447/2011,03/05/2011,Registro - SP
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
DIMORF 10 MG/ML SOL INJ - 5 AMP X,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
1 ML,FARMACÊUTICOS LTDA.,10128823,52 cxs,0443729,447/2011,03/05/2011,Registro - SP
DIMORF 10 MG/ML SOL ORAL - 1 FR,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
X 60 ML,FARMACÊUTICOS LTDA.,11021029,28cxs,0443729,447/2011,03/05/2011,Registro - SP
"",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
DIMORF 30 MG COM. 5 BL X 10,FARMACÊUTICOS LTDA.,10107593,4 cxs,0443225,447/2011,03/05/2011,Registro - SP
DIOVAN,NOVARTIS BIOCIÊNCIAS S/A,Z0050,45,268648,508/2011,13/09/2011,GOITUBA-GO
DIOVAN,NOVARTIS BIOCIÊNCIAS S/A,Z0083,60,268648,508/2011,13/09/2011,GOITUBA-GO
DIOVAN,NOVARTIS BIOCIÊNCIAS S/A,Z0050,78,268779,508/2011,13/09/2011,GOITUBA-GO
DIOVAN,NOVARTIS BIOCIÊNCIAS S/A,Z0083,80,268779,508/2011,13/09/2011,GOITUBA-GO
DIOVAN,NOVARTIS BIOCIÊNCIAS S/A,Z0083,80,268786,508/2011,13/09/2011,GOITUBA-GO
DIOVAN,NOVARTIS BIOCIÊNCIAS S/A,Z0050,78,268786,508/2011,13/09/2011,GOITUBA-GO
DIOVAN HCT,NOVARTIS BIOCIÊNCIAS S/A,Z0089,188,268779,508/2011,13/09/2011,GOITUBA-GO
DIOVAN HCT,NOVARTIS BIOCIÊNCIAS S/A,Z0089,188,268786,508/2011,13/09/2011,GOITUBA-GO
DIOVAN TRIPLO,NOVARTIS BIOCIÊNCIAS S/A,Z0031,213,268779,508/2011,13/09/2011,GOITUBA-GO
DIOVAN TRIPLO,NOVARTIS BIOCIÊNCIAS S/A,Z0019,11,268779,508/2011,13/09/2011,GOITUBA-GO
DIOVAN TRIPLO,NOVARTIS BIOCIÊNCIAS S/A,Z0031,213,268786,508/2011,13/09/2011,GOITUBA-GO
DIOVAN TRIPLO,NOVARTIS BIOCIÊNCIAS S/A,Z0019,11,268786,508/2011,13/09/2011,GOITUBA-GO
"",MEDQUÍMICA INDÚSTRIA,,,,,,
DIPIMED 500 MG/ML,FARMACÊUTICA LTDA,0103IL,25229,28275,308-2064/2011,28/04/2011,Fortaleza - CE
"",CIMED INDÚSTRIA DE,,,,,,
DIPROZIL CREME BG 30 G,MEDICAMENTOS LTDA,1102119,6,158922,970929,30/08/2011,Carté-MG
"DIUBLOK  50MG+12,5MG 30CPR",Eurofarma Laboratórios Ltda,214705,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
DIUBLOK 100MG+25MG 30CPR,Eurofarma Laboratórios Ltda,215130,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
DIURISA 40MG 20CPR,Eurofarma Laboratórios Ltda,213930,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",,,,,,,Rua Refinaria Gabriel
"",CIMED Indústria de Medicamentos,,,,,,"Passos, 437,"
"",,163425,10,,2011-1380465,21/10/2011,
"",Ltda,,,,,,Petrolândia –
DIURIT 40 MG COMP. 1 X 20,,,,,,,Contagem/MG
"",,,,,,,VITÓRIA DA CONQUISTA -
"",,110789,48,40787,1002011022173/11,16/12/2011,
DOLAMIN 125 MG 8 COMP AG,FARMACOQUÍMICA,,,,,,BA
DOLAMIN 125MG C/ 16 COMP,FARMOQUÍMICCA S/A,110292,48,38339,002853/11,01/08/2011,Campina Grande - PB
"",,,,,,,VITÓRIA DA CONQUISTA -
"",,110758,192,40787,1002011022173/11,16/12/2011,
DOLAMIN FLEX 8 COMP AG,FARMACOQUÍMICA,,,,,,BA
DOLAMIN FLEX C/ 15 COMP,FARMOQUÍMICCA S/A,110112,144,38339,002853/11,01/08/2011,Campina Grande - PB
DOLOSAL 50 MG/ML- SOL INJ- 25,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
AMP X 2 ML,FARMACÊUTICOS LTDA.,10128855,6 cxs,0443223,447/2011,03/05/2011,Registro - SP
DOMPERIDONA 10MG 30CPR,Eurofarma Laboratórios Ltda,,300,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",,213526,,,,,
DORMIRE 15 MG (5 MG/ML) CX 50,,,,,,,
AMP VD AMB X 3ML,CRISTÁLIA PROD. QUIM. FARMAC,11096508,4,578048,3268/1918/2011,28/12/2011,RIO DE JANEIRO - RJ
DORMIRE 5 MG/ML SOL INJ - 50 AMP,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
X 3 ML,FARMACÊUTICOS LTDA.,10128860,3 cxs,0443995,447/2011,03/05/2011,Registro - SP
DORMIRE 5MG/ML SOL INJ- 50 AMP,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
X 10 ML,FARMACÊUTICOS LTDA.,10107450,6 cxs,0443988,447/2011,03/05/2011,Registro - SP
DORMIRE 5MG/ML SOL INJ- 50 AMP,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
X 3 ML,FARMACÊUTICOS LTDA.,10128860,4 cxs,0443223,447/2011,03/05/2011,Registro - SP
Medicamento,Empresa,No lote,"Quantidade Roubada/Furtada/Extraviada",No Nota Fiscal,No Boletim de Ocorrência,"Data do rouboou extravio",Local do roubo ou extravio
"DORMONID 50MG 10ML 5 AMP(MIDAZOLAM)","PRODUTOS ROCHE QUÍMICOS EFARMACÊUTICOS S.A",RJ0513,84,86252,"941637 ComunicaçãoC1057529",16/07/2011,RESSAQUINHA - MG
"DOSTINEX 0,5 MG X 2 COMP",LABORATÓRIOS PFIZER LTDA.,P571A,,186705,2011/09910.0-000145,27/08/2011,Japaratuba - SE
DOSTINEX 8 Comp.,LABORATÓRIOS PFIZER LTDA.,N976A,1080,164151,12154480,11/04/2011,Vitória - ES
DOUFLAN 1AMP,CRISTÁLIA PROD. QUIM. FARMAC,11053672,66,495871,01926/1918/2011,18/08/2011,S. J. MERITI - RJ
DOXAZOSINA 4MG 30TAB BR,SANDOZ DO BRASIL IND. FARM.,BX4029,80,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
DOXAZOSINA 4MG 30TAB BR,SANDOZ DO BRASIL IND. FARM.,BX4029,80,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
DOXAZOSINA 4MG 30TAB BR,SANDOZ DO BRASIL IND. FARM.,BX4029,80,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
DOXICICLINA 100MG 15TAB BR,SANDOZ DO BRASIL IND. FARM.,BU0885,10,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
DRÁGEAS,Chiesi Farmacêutica Ltda,111400 A,48,78372,02898/ 1918/ 2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
DRÁGEAS,Chiesi Farmacêutica Ltda,116796,60,78372,02898/ 1918/ 2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
"DRENO CIRÚRGICO DE SILICONE10/30 CM","HALEX ISTAR INDÚSTRIAFARMACÊUTICA",110257983,6,80150,3000/2011,01/06/2011,Marginal Tietê - SP
"DRENO CIRÚRGICO DE SILICONE10/30 CM","HALEX ISTAR INDÚSTRIAFARMACÊUTICA",110358276,18,80150,3000/2011,01/06/2011,Marginal Tietê - SP
"DROPERDAL 2,5 MG/ML SOL INJ - 10AMP X 1 ML","CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",10085979,1 cx,0443986,447/2011,03/05/2011,Registro - SP
"DROPERDAL 2,5 MG/ML SOL INJ - 50AMP X 1 ML","CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",10085979,1 cx,0443995,447/2011,03/05/2011,Registro - SP
DUCODIL 5 MG COMP VER 1 BL X 20,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1103002,3,158922,970929,30/08/2011,Carté-MG
"DUOFLAM 6,43 MG/ML + 2,63 MG/MLSUS. INJ. - 1 AMP X 1 ML + SERINGA","CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",11031622,2.492 cxs,0443729,447/2011,03/05/2011,Registro - SP
"DUOFLAM 6,43 MG/ML + 2,63 MG/MLSUS. INJ. - 1 AMP X 1 ML + SERINGA","CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",11031644,572 cxs,0443729,447/2011,03/05/2011,Registro - SP
DUOMO 2MG 30CPR,Eurofarma Laboratórios Ltda,206693,300,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
DUOTRAT CREME TOPICO (AG),"MEDLEY INDÚSTRIAFARMACEUTICA LTDA",11041951,59,41251,1647/2011,01/09/2011,Brasilandia-SP
DUOTRAT CREME TOPICO (AG),"MEDLEY INDÚSTRIAFARMACEUTICA LTDA",11041951,29,41260,1647/2011,01/09/2011,Brasilandia-SP
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",,,,,,,R MANUEL ANTONIO
"",SANOFI-AVENTIS COMERCIAL E,,,,,,"FONSECA, 3-BRASILANDIA -"
DUOTRAT CREME TOPICO (AG),LOGISTICA LTDA,11041951,59,41251,1649/2011,01/09/2011,SP
"",,,,,,,R MANUEL ANTONIO
"",SANOFI-AVENTIS COMERCIAL E,,,,,,"FONSECA, 3-BRASILANDIA -"
DUOTRAT CREME TOPICO (AG),LOGISTICA LTDA,11041951,29,41260,1649/2011,01/09/2011,SP
EBASTEL  10MG 10CPR,Eurofarma Laboratórios Ltda,204378,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
EBASTEL  XPE  60ML,Eurofarma Laboratórios Ltda,201360D,40,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
EBIX 10MG 28 COMP,LUNDBECK BRASIL LTDA,945369,12,10248,11I0319039742,17/06/2011,Jaboatã dos Guararapes/ PE
EBIX 10MG 28 COMP,LUNDBECK BRASIL LTDA,50794,12,4000,4017/2011,19/07/2011,São Paulo/ SP
EBIX 10MG AG 14 COM,LUNDBECK BRASIL LTDA,945258,68,9656,125834/2011,27/07/2011,Viana/ ES
EBIX 10MG AG 28 COM,LUNDBECK BRASIL LTDA,843909,49,9656,125834/2011,27/07/2011,Viana/ ES
EBIX 10MG COMPRIMIDOS,LUNDBECK BRASIL LTDA,049052,12,1722,4460,09/03/2011,Natal/ RN
EBIX 10MG COMPRIMIDOS AG,LUNDBECK BRASIL LTDA,049361,100,1777,4096/2011,08/03/2011,Porto Alegre/RS
"",LATINOFARMA INDÚSTRIAS,,,,,,
ECOFILM 15 ML,FARMACÊUTICAS LTDA,11.180,24,81.587,2041/2011,20/07/2011,São Paulo/SP
"",LATINOFARMA INDÚSTRIAS,,,,,,
ECOFILM 5 ML,FARMACÊUTICAS LTDA,11.166,36,81.587,2041/2011,20/07/2011,São Paulo/SP
"",LATINOFARMA INDÚSTRIAS,,,,,,
ECOFILM 5ml,FARMACÊUTICAS LTDA,10440,108,75916,89368,14/02/2011,Governador Valadares - MG
EFEDRIN 50 MG/ML SOL INJ - 100,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
AMP X 1 ML,FARMACÊUTICOS LTDA.,11020883,1 cx,0443223,447/2011,03/05/2011,Registro - SP
EFEDRIN 50 MG/ML SOL INJ - 100,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
AMP X 1 ML,FARMACÊUTICOS LTDA.,11020883,1 cx,0443986,447/2011,03/05/2011,Registro - SP
EFEDRIN 50 MG/ML SOL INJ - 100,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
AMP X 1 ML,FARMACÊUTICOS LTDA.,11020883,2 cxs,0443995,447/2011,03/05/2011,Registro - SP
ELIXIR 10MG 14 COM AG,LUNDBECK BRASIL LTDA.,49361,100,1777,4096/2011,18/05/2011,Porto Alegre - RS
"",,,,,,,AV. JOAO PESSOA -
EMULSÃO UNIVERSAL OR,MERCK S.A.,BR30644,50,186483,308-4279/2011,03/10/2011,FORTALEZA
ENALAMED 10 MG COMP 3,CIMED INDÚSTRIA DE,,,,,,
STR X 10,MEDICAMENTOS LTDA,11B0244,45,158942,970929,30/08/2011,Carté-MG
ENALAMED 10 MG COMP 3,CIMED INDÚSTRIA DE,,,,,,
STR X 10,MEDICAMENTOS LTDA,1102464,55,158942,970929,30/08/2011,Carté-MG
ENALAMED 10 MG COMP 3,CIMED INDÚSTRIA DE,,,,,,
STR X 10,MEDICAMENTOS LTDA,4926/10,31,158952,970929,30/08/2011,Carté-MG
ENALAMED 10 MG COMP 3,CIMED INDÚSTRIA DE,,,,,,
STR X 10,MEDICAMENTOS LTDA,4927/10,4,158952,970929,30/08/2011,Carté-MG
ENALAMED 10 MG COMP 3,CIMED INDÚSTRIA DE,,,,,,
STR X 10,MEDICAMENTOS LTDA,11B0244,65,158952,970929,30/08/2011,Carté-MG
ENALAMED 10 MG COMP 3,CIMED INDÚSTRIA DE,,,,,,
STR X 10,MEDICAMENTOS LTDA,1102464,30,159036,970929,30/08/2011,Carté-MG
"",WYETH INDUSTRIA,,,,,,
ENBREL 50 MG 4BZ,FARMACEUTICA LTDA,E34422,3,37460,3938/2011 E 6624/2011,13/09/2011,SÃO PAULO - SP
ENDOCRIS 40MG,CRISTÁLIA PROD. QUIM. FARMAC,11CB110801,3,535553,1763/2011,24/10/2011,SÃO VICENTE - SP
"",MARJAN INDÚSTRIA E COMÉRCIO,,,,,,
ENDOFOLIN GOTAS 30ml,LTDA,10093426,50,26672,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
ENSURE NG,ABOTT LAB. DO BRASIL LTDA.,07264QU,24,153086,,26/12/2011,MIRACATU - SP
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
EPATIVAN SOL OR 48 FLAC X,CIMED INDÚSTRIA DE,,,,,,
10 ML,MEDICAMENTOS LTDA,1101365,6,158942,970929,30/08/2011,Carté-MG
EPATIVAN SOL OR. 48 FLAC. X 10,CIMED INDÚSTRIA DE,,,,,,
ML,MEDICAMENTOS LTDA,1101365,6,159049,970929,30/08/2011,Carté-MG
EPATIVAN SOL OR. 48 FLAC. X 10,CIMED INDÚSTRIA DE,,,,,,
ML,MEDICAMENTOS LTDA,1101365,1,158922,970929,30/08/2011,Carté-MG
EPATIVAN SOL OR. 60 FLAC. X 10,CIMED INDÚSTRIA DE,,,,,,
ML,MEDICAMENTOS LTDA,2514/09,58,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
EPIFRIN 100AMPx1ML,CRISTÁLIA PROD. QUIM. FARMAC,11020940,2,536098,1763/2011,24/10/2011,SÃO VICENTE - SP
EPIFRIN 100AMPx1ML,CRISTÁLIA PROD. QUIM. FARMAC,536098,1,536098,1763/2011,24/10/2011,SÃO VICENTE - SP
"",FRESENIUS HEMOCARE BRASIL,,,,,,
EQUIPO TRANSF,LTDA,71EE20DA00,240,16619,3959/2011,26/05/2011,São Paulo - SP
"",LIFEMED INDUSTRIAL DE,,,,,,
EQUIPOS LIFEMED PRA BOMBA DE,EQUIPAMENTOS E ARTIGOS,,,,,,
INFUSÃO,MÉDICOS E HOSPITALARES S.A,EQP1109124,270,,11E0097007744,12/06/2011,RECIFE - PE
"",LIFEMED INDUSTRIAL DE,,,,,,
EQUIPOS LIFEMED PRA BOMBA DE,EQUIPAMENTOS E ARTIGOS,,,,,,
INFUSÃO,MÉDICOS E HOSPITALARES S.A,EQP1109130,1180,,11E0097007744,12/06/2011,RECIFE - PE
"",LIFEMED INDUSTRIAL DE,,,,,,
EQUIPOS LIFEMED PRA BOMBA DE,EQUIPAMENTOS E ARTIGOS,,,,,,
INFUSÃO,MÉDICOS E HOSPITALARES S.A,EQP1109032,220,,11E0097007744,12/06/2011,RECIFE - PE
"",LIFEMED INDUSTRIAL DE,,,,,,
EQUIPOS LIFEMED PRA BOMBA DE,EQUIPAMENTOS E ARTIGOS,,,,,,
INFUSÃO,MÉDICOS E HOSPITALARES S.A,EQP1109133,900,,11E0097007744,12/06/2011,RECIFE - PE
"",MEDLEY INDÚSTRIA,,,,,,
ESCITAN 50MG C/1 (AGT),FARMACEUTICA LTDA,11050894,279,41251,1647/2011,01/09/2011,Brasilandia-SP
"",,,,,,,R MANUEL ANTONIO
"",SANOFI-AVENTIS COMERCIAL E,,,,,,"FONSECA, 3-BRASILANDIA -"
ESCITAN 50MG C/1 (AGT),LOGISTICA LTDA,11050894,279,41251,1649/2011,01/09/2011,SP
ESCOVA DESCART. SCRUB MN-48,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
ESC.,FARMACÊUTICOS LTDA.,11010460,6 cxs,0443995,447/2011,03/05/2011,Registro - SP
ESPIRONOLACTONA  25MG 30CPR,Eurofarma Laboratórios Ltda,,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",,212727,,,,,
ESPIRONOLACTONA 100MG 16CPR,Eurofarma Laboratórios Ltda,,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",,207389,,,,,
ESTIMORALCX C/ 14 COMP.,CHIESI FARMACÊUTICA LTDA,159179,12,78372,02898/1918/2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
ESTIMORAL CX/ C/ 14,Chiesi Farmacêutica Ltda,111269 A,24,78372,02898/ 1918/ 2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
EVISTA 60 MG TA4165 28S,ELI LILLY DO BRASIL LTDA,A886601,425,82489,2011/09910.0-000145,27/08/2011,Capela-SE
EXELON PATCH Adesivo,,,,,,,
(transdérmico),NOVARTIS BIOCIÊNCIAS S/A,245240,50,268349,508/2011,13/09/2011,GOITUBA-GO
EXELON TTS,NOVARTIS BIOCIÊNCIAS S/A,231190,40,268640,508/2011,13/09/2011,GOITUBA-GO
EXELON TTS Adesivo (transdérmico),NOVARTIS BIOCIÊNCIAS S/A,216340,7,268349,508/2011,13/09/2011,GOITUBA-GO
EXELON TTS Adesivo (transdérmico),NOVARTIS BIOCIÊNCIAS S/A,231190,66,268350,508/2011,13/09/2011,GOITUBA-GO
EXTENSOR VALVULADO PLUS - 12,GABMED PRODUTOS,,,,,,RUA CAMARDO - TATUAPE -
FR X 2 VIAS,ESPECÍFICOS LTDA,11H31,1160,7083,9670/2011,27/09/2011,SÃO PAULO
FASTFEN 5 UG/ML SOL INJ- 25 EST.,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
X 1 AMP X 2 ML,FARMACÊUTICOS LTDA.,10064339,3 cxs,0443976,447/2011,03/05/2011,Registro - SP
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
FEBSEN 50MG/ML SUSP ORAL 15ML,MEDLEY INDÚSTRIA,,,,,,
(AG),FARMACEUTICA LTDA,11061669,112,41290,1647/2011,01/09/2011,Brasilandia-SP
"",,,,,,,R MANUEL ANTONIO
FEBSEN 50MG/ML SUSP ORAL 15ML,SANOFI-AVENTIS COMERCIAL E,,,,,,"FONSECA, 3-BRASILANDIA -"
(AG),LOGISTICA LTDA,11061669,112,41290,1649/2011,01/09/2011,SP
FELDENE 20 MG X 10 CAPS,LABORATÓRIOS PFIZER LTDA.,10404 003D,,186709,2011/09910.0-000145,27/08/2011,Japaratuba - SE
FELDENE 20 MG X 10 CAPS,LABORATÓRIOS PFIZER LTDA.,10404 003D,,186705,2011/09910.0-000145,27/08/2011,Japaratuba - SE
FELDENE IM 40 MG X 2 AMP,LABORATÓRIOS PFIZER LTDA.,10404 005D,,186705,2011/09910.0-000145,27/08/2011,Japaratuba - SE
FENITAL 50 MG/ML SOL INJ -50 AMP,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
X 5 ML,FARMACÊUTICOS LTDA.,10085821,1 cx,0443223,447/2011,03/05/2011,Registro - SP
"",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
FENOCRIS 100 MG COM. - 20 BL X 10,FARMACÊUTICOS LTDA.,11010384,1 cx,0443223,447/2011,03/05/2011,Registro - SP
FENOCRIS 100 MG/ML SOL INJ - 50,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
AMP X 2 ML,FARMACÊUTICOS LTDA.,10128843,1 cx,0443223,447/2011,03/05/2011,Registro - SP
FENOCRIS 100 MG/ML SOL INJ - 50,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
AMP X 2 ML,FARMACÊUTICOS LTDA.,10128843,20 cxs,0443976,447/2011,03/05/2011,Registro - SP
"FENTANEST 0,05 MG/ML SOL INJ -",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
25 FA X 10 ML,FARMACÊUTICOS LTDA.,11020934,2 cxs,0443223,447/2011,03/05/2011,Registro - SP
"FENTANEST 0,05 MG/ML SOL INJ -",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
25 FA X 10 ML,FARMACÊUTICOS LTDA.,11020934,192 cxs,0443976,447/2011,03/05/2011,Registro - SP
"FENTANEST 0,05 MG/ML SOL INJ -",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
25 FA X 10 ML,FARMACÊUTICOS LTDA.,11031603,400 cxs,0443985,447/2011,03/05/2011,Registro - SP
"FENTANEST 0,05 MG/ML SOL INJ -",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
25 FA X 10 ML,FARMACÊUTICOS LTDA.,11031603,6 cxs,0443988,447/2011,03/05/2011,Registro - SP
"FENTANEST 0,05 MG/ML SOL INJ -",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
25 FA X 10 ML,FARMACÊUTICOS LTDA.,11031603,1 cx,0443995,447/2011,03/05/2011,Registro - SP
"FENTANEST 0,05 MG/ML SOL INJ -",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
50 EST X 1 AMP X 2 ML,FARMACÊUTICOS LTDA.,11020853,3 cxs,0443995,447/2011,03/05/2011,Registro - SP
"FENTANEST 0,05MG/ML SOL INJ-",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
25FA X 10 ML,FARMACÊUTICOS LTDA.,11020934,4 cxs,0443221,447/2011,03/05/2011,Registro - SP
FIBRASE TB 10G,LABORATÓRIOS PFIZER LTDA.,1 052,,186705,2011/09910.0-000145,27/08/2011,Japaratuba - SE
FIBRASE TB 30G,LABORATÓRIOS PFIZER LTDA.,1 059,,186705,2011/09910.0-000145,27/08/2011,Japaratuba - SE
FIBRINASE C/ CLORANF 1BIS,CRISTÁLIA PROD. QUIM. FARMAC,10075091,84,495871,01926/1918/2011,18/08/2011,S. J. MERITI - RJ
FILDERME 30 ml,GEYER MEDICAMENTOS S.A,10.011.02,6,39882,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
"",,,,,,,AV. JOAO PESSOA -
FLAXIN 5MG 2BL X 15COMP,MERCK S.A.,BR31299,120,183203,308-4279/2011,03/10/2011,FORTALEZA
