129,ADDERA D3 7.000UI CT BL 24X30 COMP REV,COSMED IND COSM MED S/A,B19C0962,96,259,1,706724,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
130,ADDERA D3 GTS FR 24X10ML,COSMED IND COSM MED S/A,B19L1333,1152,1.175,0,704006,14023985,28/02/2020,19 km após Bela Vista de Goiás - GO 020,GO
131,ADINOS GEN,Aché Laboratórios Farmacêuticos S.A,1909248,1 CAIXAS,,1,44,3438 / 2020 / 100425,21/05/2020,DROGARIA,-
132,AD-TIL GTS 20ML,TAKEDA DISTRIBUIDORA LTDA,457125,1,-,-,11301795,2114/2020,06/03/2020,GUARUJÁ,SP
133,ADVIL,LABORATORIOS PFIZER LT,190524,1,N/A,0,11284350,2341/2020,05/03/2020,São Paulo,SP
134,ADVIL 400MG 20X3 CAPS,"PF CONSUMER HEALTHCAREBRAZIL IMP D",190305,1,-,-,11309338,2114/2020,06/03/2020,GUARUJÁ,SP
135,"AERODINI 100MCG/JATO-DOSE SPRA Y C/200DOSES",LABORATÓRIO TEUTO BRASILEIRO,07641360,2 CAIXAS,28.717,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
136,AERODINI AEROSOL 200 DOSES,TEUTO,7641467,1,NA,NA,84.717,2020-055419157-001,10/11/2020,"RUA JOSE ALVES DA SILVA, 69.  BAIRRO CAIÇARAS - BELOHORIZONTE/MG",MG
137,AEROGOLD,DIMASTER,KJ90214,20 UNIDADES,NÃO FABRICAMOS,ZERO,216048,330243/2020/400010,13/04/2020,SÃO PAULO,SP
138,AEROGOLD (GLENMARK),DIMASTER,KJ90153,20 UNIDADES,NÃO FABRICAMOS,ZERO,210634,467924/2020-BO-00613.2020.000809,12/02/2020,DESCONHECIDO,-
Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*","Quantidade Fabricada/Importada",Quantidade Estoque,No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
139,AEROGOLD (GLENMARK),DIMASTER,KJ90231,20 UNIDADES,NÃO FABRICAMOS,ZERO,217006,1281749/2020,26/05/2020,DESCONHECIDO,-
140,AFOPIC 5MG COMP C/20 ALU - ALU,LABORATÓRIO TEUTO,9824142,200 CAIXAS,38806,32759,675598,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
141,AFOPIC 5MG COMP C/20 ALU - ALU,LABORATÓRIO TEUTO,9824142,200 CAIXAS,38806,32759,675600,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
142,AFOPIC 5MG COMP C/20 ALU - ALU,LABORATÓRIO TEUTO,9824135,100 CAIXAS,39645,121,673987,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
143,AFOPIC 5MG COMP C/20 ALU - ALU,LABORATÓRIO TEUTO BRASILEIRO,9824139,1750 CAIXAS,38.594,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
144,Agua para Injecao 10 mL,Halex Istar Ind. Farmacêutica S/A,20096,4600,86.200,0,31478,059.05962/2020-01,19/05/2020,Duque de Caxias,RJ
145,Agua para Injecao 10 mL,Halex Istar Ind. Farmacêutica S/A,20097,5400,88.600,0,31478,059.05962/2020-01,19/05/2020,Duque de Caxias,RJ
146,AIPRI 10MG C1 CT BL 30 COMP,COSMED IND COSM MED S/A,M003476,624,4.546,3.165,000003945-9,16479120,22/09/2020,"GO 020 Km 63, Bairro: ZONA RURAL - Municipio:PIRACANJUBA - GOIAS",GO
147,"AJOVY 150MG ML INJ 1SR PRE 1,5ML",TEVA FARMACÊUTICA LTDA.,TBTA01A,1,N/A,95,101526,1215/2020,24/07/2020,"Rodovia Presidente Dutra, após pedagio de Guararema",-
148,"AJOVY 150MG ML INJ 1SR PRE 1,5ML",TEVA FARMACÊUTICA LTDA.,TBTA01A,1,N/A,95,101528,1215/2020,24/07/2020,"Rodovia Presidente Dutra, após pedagio de Guararema",-
149,AKINETON 2MG X 80 COMP,Laboratórios Bagó do Brasil S.A,1107891,864 unidades,49.400 unidades,12.822 unidades,31141,2496/2020,09/03/2020,São Paulo,SP
150,AKINETON 2MG X 80 COMP,Laboratórios Bagó do Brasil S.A,1107891,198 unidades,49.400 unidades,12.822 unidades,31165,2496/2020,09/03/2020,São Paulo,SP
151,"AKYNZEO 0,56MG E 300MG MG CAP DURA CTBL AL X 1",ELFA MEDICAMENTOS S.A.,39003608,18 CAIXA,-,0,N°.000205281,229/220,19/08/2020,"RODOVIA BR 050 , 1 UBERABA",MG
152,"AKYNZEO 0,56MG E 300MG MG CAP DURA CTBL AL X 1",ELFA MEDICAMENTOS S.A.,39003191,52 CAIXA,-,120,N°.000205281,229/220,19/08/2020,"RODOVIA BR 050 , 1 UBERABA",MG
153,ALBEL 400MG CX C/ 1COMP,"GEOLAB INDUSTRIAFARMACEUTICA S/A",2006562,6.600 CART,172.258 CART,6.381 CART,351387,B.O. 20200530142832400,30/05/2020,"CIDADE SANTO ANTONIO DO DESCOBERTO - GO, BR060, KM 7.0",GO
154,"ALBENDAZOL 40 MG/ML SUSPENSÃO ORAL (PRATIDONADUZZI)",DIMASTER,20C62F,200 UNIDADES,NÃO FABRICAMOS,48000,218538,3301811/2020/400010,DESCONHECIDA,JABOATÃO DOS GUARARAPES,PE
155,ALBENDAZOL 400MG 1 CPS,PRATIDONADUZZI & CIA LTDA,19I475,20,-,-,000137015-1,20E2141000053,04/01/2020,CABO DE SANTO AGOSTINHO,PE
156,ALBENDAZOL 400MG 1 CPS,PRATIDONADUZZI & CIA LTDA,19I475,60,-,-,000137026-1,20E2141000053,04/01/2020,CABO DE SANTO AGOSTINHO,PE
157,ALBENDAZOL 400MG 1 CPS,PRATI DONADUZZI & CIA LTDA,19I475,60,-,-,000139076-1,20E2141000365,31/01/2020,MORENO,PE
158,ALBENDAZOL 400MG 1 CPS,"PRATI, DONADUZZI E CIA LTDA",19J70N,60,60,0,417769,2020-014722225-001,24.03.2020,Ribeirão das Neves,MG
159,ALBENDAZOL 400MG 1 CPS,"PRATI, DONADUZZI E CIA LTDA",19J70N,25,25,0,422167,2020-016912409-001,08/04/2020,Belo Horizonte,MG
160,ALBENDAZOL 400MG 1 CPS,"PRATI, DONADUZZI E CIA LTDA",19J70N,15,15,0,422217,2020-016912409-001,08/04/2020,Belo Horizonte,MG
161,ALBENDAZOL 400MG 1 CPS,"PRATI, DONADUZZI E CIA LTDA",19L16A,3,3,0,422264,2020-016912409-001,08/04/2020,Belo Horizonte,MG
162,ALBENDAZOL 400MG 1 CPS,"PRATI, DONADUZZI E CIA LTDA",19J70N,12,12,0,422268,2020-016912409-001,08/04/2020,Belo Horizonte,MG
163,ALBENDAZOL 400MG 1 CPS,"PRATI, DONADUZZI E CIA LTDA",20B16Q,1,1,0,424614,2020-018151005-001,16/04/2020,Contagem,MG
164,ALBENDAZOL 400MG 1 CPS,"PRATI, DONADUZZI E CIA LTDA",19J70N,20 unidades,20,20,309048,-,06/04/2020,-,PR
165,ALBENDAZOL 400MG 1 CPS,"PRATI, DONADUZZI E CIA LTDA",19G46M,24 UNIDADES,24,24,318343,-,-,-,PR
166,ALBENDAZOL 400MG 1 CPS,"PRATI, DONADUZZI E CIA LTDA",19G46M,40 UNIDADES,40,40,318790,-,-,-,PR
167,ALBENDAZOL 400MG 1 CPS,"PRATI, DONADUZZI E CIA LTDA",19G46M,12 UNIDADES,12,12,320489,-,-,-,PR
168,ALBENDAZOL 400MG 1 CPS,"PRATI, DONADUZZI E CIA LTDA",19G46M,3 UNIDADES,3,3,320414,-,-,-,PR
169,ALBENDAZOL 400MG 10X10 CPS - FRAC,"PRATI, DONADUZZI E CIA LTDA",19L290,5 unidades,5,5,314211,-,06/05/2020,-,PR
170,ALBENDAZOL 400MG 10X10 CPS - FRAC,"PRATI, DONADUZZI E CIA LTDA",19L290,2 unidades,2,2,315182,-,01/03/2020,-,PR
171,ALBENDAZOL 400MG 1CPS,"PRATI, DONADUZZI E CIA LTDA",19J70N,"1,000",1,1,306675,2020/270596,05/03/2020,TELEMACO BORBA,PR
172,ALBENDAZOL 400MG 1CPS,"PRATI, DONADUZZI E CIA LTDA",19J70N,"1,000",1,1,306672,2020/270596,05/03/2020,TELEMACO BORBA,PR
173,ALBENDAZOL 400MG 3 CPS,"PRATI, DONADUZZI E CIA LTDA",20D083,36,36,0,430122,2020-021358323-001,05/05/2020,Belo Horizonte,MG
174,ALBENDAZOL 400MG 3 CPS,"PRATI, DONADUZZI E CIA LTDA",20D083,36,36,0,430315,2020-021358323-001,05/05/2020,Belo Horizonte,MG
175,ALBENDAZOL 400MG 3 CPS,"PRATI, DONADUZZI E CIA LTDA",20D083,1,1,0,430318,2020-021358323-001,05/05/2020,Belo Horizonte,MG
176,ALBENDAZOL 400MG 3 CPS,"PRATI, DONADUZZI E CIA LTDA",20D083,100,100,0,430423,2020-021358323-001,05/05/2020,Belo Horizonte,MG
177,ALBENDAZOL 400MG 3 CPS,"PRATI, DONADUZZI E CIA LTDA",20D083,10 unidades,10,10,317227,514234/2020,07/05/2020,CAMPO DO SANTANA,PR
178,ALBENDAZOL 400MG 3 CPS,"PRATI, DONADUZZI E CIA LTDA",20D855,24 UNIDADES,24,24,320529,-,-,-,PR
179,ALBENDAZOL 400MG 3CPS,"PRATI, DONADUZZI E CIA LTDA",20D855,6 UNIDADES,6,6,320489,-,-,-,PR
180,ALBENDAZOL 400MG 3CPS,"PRATI, DONADUZZI E CIA LTDA",20D855,2 UNIDADES,2,2,320414,-,-,-,PR
181,ALBENDAZOL 400MG 5 CPS,"PRATI, DONADUZZI E CIA LTDA",19H69R,4 unidades,4,4,317227,514234/2020,07/05/2020,CAMPO DO SANTANA,PR
182,ALBENDAZOL 400MG 5 CPS,"PRATI, DONADUZZI E CIA LTDA",19G49J,5 unidades,5,5,306102,-,31/03/2020,-,PR
183,ALBENDAZOL 400MG 5 CPS,"PRATI, DONADUZZI E CIA LTDA",19G49J,11 unidades,11,11,307772,-,14/04/2020,-,PR
184,ALBENDAZOL 400MG 5CPS,"PRATI, DONADUZZI E CIA LTDA",19J216,6 UNIDADES,6,6,320489,-,-,-,PR
Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*","Quantidade Fabricada/Importada",Quantidade Estoque,No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
185,ALBENDAZOL 400MG 5CPS,"PRATI, DONADUZZI E CIA LTDA",19G49J,"5,000",5,5,306102,2020/296856,10/03/2020,FAZENDA RIO GRANDE,PR
186,ALBENDAZOL 400MG/ML SUS PL 10ML,PRATIDONADUZZI & CIA LTDA,49J402,60,-,-,000137026-1,20E2141000053,04/01/2020,CABO DE SANTO AGOSTINHO,PE
187,ALBENDAZOL 40MG/ML SUS PL 10ML,PRATI DONADUZZI & CIA LTDA,19J402,40,-,-,000139076-1,20E2141000365,31/01/2020,MORENO,PE
188,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",20A533,"1,000",1,1,306672,2020/270596,05/03/2020,TELEMACO BORBA,PR
189,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",20A093,36,36,0,417769,2020-014722225-001,24.03.2020,Ribeirão das Neves,MG
190,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",20A533,"1,000",1,1,306675,2020/270596,05/03/2020,TELEMACO BORBA,PR
191,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",19J47A,"24,000",24,24,298794,2020/51470,16/01/2020,-,-
192,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",20B299,1,1,0,422167,2020-016912409-001,08/04/2020,Belo Horizonte,MG
193,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",20B299,15,15,0,422217,2020-016912409-001,08/04/2020,Belo Horizonte,MG
194,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",20B299,3,3,0,422264,2020-016912409-001,08/04/2020,Belo Horizonte,MG
195,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",20B299,12,12,0,422268,2020-016912409-001,08/04/2020,Belo Horizonte,MG
196,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",20B74J,20,20,0,430225,2020-021358323-001,05/05/2020,Belo Horizonte,MG
197,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",20B50K,1,1,0,430296,2020-021358323-001,05/05/2020,Belo Horizonte,MG
198,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",20B74J,3,3,0,430315,2020-021358323-001,05/05/2020,Belo Horizonte,MG
199,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",20B50K,100,100,0,430423,2020-021358323-001,05/05/2020,Belo Horizonte,MG
200,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",20B91F,50 unidades,50,50,315182,-,01/03/2020,-,PR
201,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",20B617,4 unidades,4,4,313868,-,29/04/2020,-,PR
202,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",20A68A,20 unidades,20,20,309048,-,06/04/2020,-,PR
203,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",20D99B,60 UNIDADES,60,60,320529,-,-,-,PR
204,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",20F953,100,100,0,455450,2020-035548096-001,24/07/2020,Ribeirão das Neves,MG
205,ALBENDAZOL 40MG/ML SUSP 10ML GEN,LABORATÓRIO TEUTO,790182,600 CAIXAS,88340,1643,675598,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
206,ALBENDAZOL 40MG/ML SUSP 10ML GEN,LABORATÓRIO TEUTO,790182,1000 CAIXAS,88340,1643,673987,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
207,ALBENDAZOL 40MG/ML SUSP 10ML GEN,LABORATÓRIO TEUTO BRASILEIRO,0790176,1 CAIXA,89.833,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
208,ALBENDAZOL 40MG/ML SUSP 10ML GEN,LABORATÓRIO TEUTO BRASILEIRO,0790177,1 CAIXA,88.463,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
209,ALBENDAZOL 40MG/ML SUSP 10ML GEN,LABORATÓRIO TEUTO BRASILEIRO,0790184,2 CAIXAS,89.331,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
210,ALBENDAZOL 40MG/ML SUSP 10ML GEN,LABORATÓRIO TEUTO BRASILEIRO,0790188,11200 CAIXAS,89.907,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
211,ALBENDAZOL 40MG/ML SUSP 10ML GEN,LABORATÓRIO TEUTO BRASILEIRO,0790192,18500 CAIXAS,89.277,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
212,ALBOCRESIL C/6 OVULOS,TAKEDA DISTRIBUIDORA LTDA,449945,1,-,-,11302223,2114/2020,06/03/2020,GUARUJÁ,SP
213,ALCACHOFRA CELLOFARM,"ASPEN PHARMA INDÚSTRIAFARMACÊUTICA LTDA.",E520006,8 UNIDADES,16.393,0,188637,NA,NA,NA,-
214,ALDACTONE,PFIZER,CD6526,3 CAIXAS,XXXX,XXXX,172797,918-00081/2020,21/02/2020,"AVENIDA PARIS, 00, BAIRRO BONSUCESSO,MUNICÍPIO: RIO DE JANEIRO",RJ
215,ALDACTONE 25MG C/30 COMP  (NOVO),"WYETH INDUSTRIAFARMACEUTICA LTDA",CD6526,1,-,-,11302223,2114/2020,06/03/2020,GUARUJÁ,SP
216,ALDACTONE 50mg TAB 30,Wyeth,I278/1,228,31.160,24.602,192122,"M1073-2020-00000156 / 2020-002011453-001",12/01/2020,BR 381 Carmo da Cachoeira,MG
217,ALDOMET,"ASPEN PHARMA INDÚSTRIAFARMACÊUTICA LTDA.",A881781,54 UNIDADES,30.963,0,22075,NA,NA,NA,-
218,ALDOSTERIN 25 MG,ASPEN PHARMA,B620001,200 COMPRIMIDOS,NA,NA,1.347.490,1563311/2020,20/10/2020,NIKKEY RIO PRETO LOGÍSTICA,
219,ALECENSA 150MG CAP DURA CT X 224,"PRODUTOS ROCHE QUÍMICOS EFARMACÊUTICOS S.A.",B0393M2,1,N/A,0,101588,1215/2020,24/07/2020,"Rodovia Presidente Dutra, após pedagio de Guararema",-
220,ALEKTOS,TAKEDA PHARMA LTDA,465876,4.740 cartuchos,"32,471",0,000.257.437,918-00101/2020,04/03/2020,"Rodovia Presidente Dutra - Bairro Pavuna -Rio de Janeiro",RJ
221,ALEKTOS,TAKEDA PHARMA LTDA,466735,10.620 cartuchos,"35,52",0,000.257.437,918-00101/2020,04/03/2020,"Rodovia Presidente Dutra - Bairro Pavuna -Rio de Janeiro",RJ
222,ALENDRONATO DE SODIO 70MG COMP C/4 GEN PVC,LABORATÓRIO TEUTO BRASILEIRO,6232205,2 CAIXAS,26.834,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
223,ALENDRONATO DE SODIO 70MG COMP C/4 GEN PVC,LABORATÓRIO TEUTO BRASILEIRO,6232217,5000 CAIXAS,26.879,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
224,ALENDRONATO SOD 70MG C/4CPRV/SDZ,DISLAB - GO,JS1607,6UN,-,-,212316,5317/2019,11/12/2019,SÃO PAULO,SP
225,ALERGOMINE 10MG/G CREM BG 20G,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2004866,6,23.391,2515,450885,2020-019499094-001,24/04/2020,RIBEIRÃO DAS NEVES,MG
226,ALGINAC 1MG C/15 COMP,MERCK S/A,BR113478,1,-,-,11308246,2114/2020,06/03/2020,GUARUJÁ,SP
227,ALIMTA 100mg 1s,Pemetrexede Dissódico Heptaidratado,D189809,140,8743,1879,340122,3078/2020,01/10/2020,"Avenida João Ventura dos Santos, 2904 - Portal D Oeste, Osasco",SP
228,ALIMTA 100mg 1s,"Pemetrexede DissódicoHeptaidratado",D201167F,348,9.000,7.363,344.995,"07o D.P. Osasco                  N°962/2020",09/12/2020,"Rodovia Anhanguera, 18 - Osasco, São Paulo",SP
229,ALIMTA 500MG,Pemetrexede dissódico,C943581,1,7.996,14,Origem: 292278 Devolução: 524046,1498/2019 - 2o DP de Barueri,05/06/2019,Barueri,SP
230,ALIMTA 500mg 1s,"Pemetrexede DissódicoHeptaidratado",D190608,163,7.876,547,344.992,"07o D.P. Osasco                  N°962/2020",09/12/2020,"Rodovia Anhanguera, 18 - Osasco, São Paulo",SP
Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*","Quantidade Fabricada/Importada",Quantidade Estoque,No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
231,ALIVIUM,ISOFARMA,B19E2630,40 CAIXAS,XXXX,XXXX,172797,918-00081/2020,21/02/2020,"AVENIDA PARIS, 00, BAIRRO BONSUCESSO,MUNICÍPIO: RIO DE JANEIRO",RJ
232,ALIVIUM 400MG CT BL 20 CAP MOLE,COSMED IND COSM MED S/A,B20E0132,24 UNIDADES,29.122 UNIDADES,0,109.657,1990324201130030028,30.11.2020,"BR 381, KM 313, MUNICÍPIO: ANTONIO DIAS",MG
233,ALIVIUM 400MG CT BL 8 CAP MOLE,COSMED IND COSM MED S/A,B19M0941,240,93.825,1.501,706723,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
234,ALIVIUM 400MG CT BL 8 CAP MOLE,COSMED IND COSM MED S/A,B20E1470,120 UNIDADES,99.885 UNIDADES,9.838 UNIDADES,109.657,1990324201130030028,30.11.2020,"BR 381, KM 313, MUNICÍPIO: ANTONIO DIAS",MG
235,ALIVIUM 600MG CAP GEL MOLE CT BL 2X5,COSMED IND COSM MED S/A,B20A0295,300,28.416,0,706723,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
236,ALIVIUM 600MG CAP GEL MOLE CT BL 2X5,COSMED IND COSM MED S/A,B20J2302,60 UNIDADES,28.776 UNIDADES,1.680 UNIDADES,109.657,1990324201130030028,30.11.2020,"BR 381, KM 313, MUNICÍPIO: ANTONIO DIAS",MG
237,ALIVIUM COMP REV 400 MG CT 1BL X 10,COSMED IND COSM MED S/A,B20B1684,60 UNIDADES,29.136 UNIDADES,300 UNIDADES,109.657,1990324201130030028,30.11.2020,"BR 381, KM 313, MUNICÍPIO: ANTONIO DIAS",MG
238,ALIVIUM COMP REV 600MG CT BL 2X5,COSMED IND COSM MED S/A,B20D2720,60 UNIDADES,18.503 UNIDADES,0,109.657,1990324201130030028,30.11.2020,"BR 381, KM 313, MUNICÍPIO: ANTONIO DIAS",MG
239,ALIVIUM GTS 20ML 100MG/ML OR,COSMED IND COSM MED S/A,B19L0479,4914,92.665,0,704006,14023985,28/02/2020,19 km após Bela Vista de Goiás - GO 020,GO
240,ALIVIUM GTS 20ML 100MG/ML OR,COSMED IND COSM MED S/A,B19L1596,3042,93.937,0,706801,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
241,ALIVIUM SUSP GTS 50MG/ML OR 30ML,COSMED IND COSM MED S/A,B20C1472,117 UNIDADES,61.746 UNIDADES,234 UNIDADES,109.657,1990324201130030028,30.11.2020,"BR 381, KM 313, MUNICÍPIO: ANTONIO DIAS",MG
242,ALKERAN,"ASPEN PHARMA INDÚSTRIAFARMACÊUTICA LTDA.",916635,1 UNIDADE,2.990,0,359092,1215/2020,24/07/2020,"RODOVIA PRESIDENTE DUTRA, 185, CHACARAS CANADÁ, S.ISABEL - SP",SP
243,ALKERAN,"ASPEN PHARMA INDÚSTRIAFARMACÊUTICA LTDA.",910357,1 UNIDADE,2.000,0,181408,NA,NA,NA,-
244,ALKERAN 2 MG C 25 CPS,"ASPEN PHARMA INDÚSTRIAFARMACÊUTICA LTDA",916635,1,N/A,17,359092,1215/2020,24/07/2020,"Rodovia Presidente Dutra, após pedagio de Guararema",-
245,ALLEGRA  PEDIATRICO SUSP 60ML,SANOFI MEDLEY,ARA00378,1800 CARTUCHOS,134300,1018,000127875,0250775/2020,02/04/2020,Avenida Plácido Hugo  de Oliveira 2398,-
246,ALLEGRA  PEDIATRICO SUSP 60ML,SANOFI MEDLEY,ARA00389,1000 CARTUCHOS,133080,2020,000127875,0250775/2020,02/04/2020,Avenida Plácido Hugo  de Oliveira 2398,-
247,ALLEGRA  PEDIATRICO SUSP 60ML,SANOFI MEDLEY,ARA00267,780 CARTUCHOS,133740,3240,000127875,0250775/2020,02/04/2020,Avenida Plácido Hugo  de Oliveira 2398,-
248,ALLEGRA 120MG 3 CPR AG,SANOFI MEDLEY,849578,1 CARTUCHOS,1754,zero,24134,3417/2020,29/07/2020,"Avenida Julia Gaiolli, 740 - Água Chata - Guarulhos/SP",SP
249,ALLEGRA 120MG 3 CPR AG,SANOFI MEDLEY,849578,2 CARTUCHO,99.960,240,33132,0342020/406362,17/09/2020,RIO DE JANEIRO,RJ
250,ALLEGRA 120MG 3 CPR AG,SANOFI MEDLEY,849578,2 CARTUCHO,99.960,240,35718,17073010,11/11/2020,"Avenida Anápolis , Goiânia",GO
251,ALLEGRA 120MG 3 CPR AG,SANOFI MEDLEY,849578,2 CARTUCHO,99960,240,35718,17073010,11/11/2020,"Avenida Anápolis , Goiânia",GO
252,ALLEGRA D 10 CPR,SANOFI MEDLEY,ARA00589,120 CARTUCHOS,77760,402,000128340,0250775/2020,02/04/2020,Avenida Plácido Hugo  de Oliveira 2398,-
253,ALLEGRA PEDIATRICO SUSP 30 ML AG,SANOFI MEDLEY,9RA06825,4  CARTUCHO,271.240,1.005,29576,1182030/20,19/08/2020,"AVENIDA JORNALISTA PAULO ZINGG, 810 EMPRESAJAD LOG",-
254,ALLEGRA PEDIATRICO SUSP 30 ML AG,SANOFI MEDLEY,9RA06825,4 CARTUCHO,271.240,1.000,30887,16480526,23/09/2020,AVENIDA ANÁPOLIS -GOIAS,GO
255,ALLEGRA PEDIATRICO SUSP 30 ML AG,SANOFI MEDLEY,9RA06825,4 CARTUCHOS,271240,1005,29689,1399752/2020,23/09/2020,Base transportador JAD LOG,-
256,ALLEGRA PEDIATRICO SUSP 30 ML AG,SANOFI MEDLEY,ARA02899,2 CARTUCHO,266.140,262.020,35718,17073010,11/11/2020,"Avenida Anápolis , Goiânia",GO
257,ALLEGRA PEDIATRICO SUSP 30 ML AG,SANOFI MEDLEY,ARA02899,2 CARTUCHO,266.140,262.020,34234,1693359/2020,29/09/2020,"Avenida Jornalista Paulo Zing , 810 JAD LOG LTDA",.
258,ALLEGRA PEDIATRICO SUSP 30 ML AG,SANOFI MEDLEY,ARA02899,2 CARTUCHO,266140,262020,35718,17073010,11/11/2020,"Avenida Anápolis , Goiânia",GO
259,ALLEGRA PEDIATRICO SUSP 30 ML AG,SANOFI MEDLEY,ARA02899,2 CARTUCHO,266.140,239.780,37.068,17182823,19/11/2020,"Avenida Anápolis , Goiânia",GO
260,ALLEGRA PEDIATRICO SUSP 30 ML AG,SANOFI MEDLEY,ARA02899,2 CARTUCHO,266.140,239.780,36.936,17259803,25/11/2020,"Avenida Anápolis , Goiânia",GO
261,ALLEGRA PEDIATRICO SUSP 30ML AG,SANOFI MEDLEY,9RA06825,20 CARTUCHOS,271.240,1.000,45141,1613015/2020,21/10/2020,Guarulhos,SP
262,ALLENASAL 55MCG PU NASSP BT1 M17 S BR,SANOFI MEDLEY,9H192NA,2 CARTUCHO,30.360,600,35718,17073010,11/11/2020,"Avenida Anápolis , Goiânia",GO
263,ALLENASAL 55MCG PU NASSP BT1 M17 S BR,SANOFI MEDLEY,9H192NA,2 CARTUCHO,30.360,600,34234,1693359/2020,29/09/2020,"Avenida Jornalista Paulo Zing , 810 JAD LOG LTDA",.
264,ALLENASAL 55MCG PU NASSP BT1 M17 S BR,SANOFI MEDLEY,9H192NA,2 CARTUCHO,30360,600,35718,17073010,11/11/2020,"Avenida Anápolis , Goiânia",GO
265,ALLENASAL 55MCG PU NASSP BT1 M17 S BR,SANOFI MEDLEY,9H192NA,2 CARTUCHO,30.360,zero,37.068,17182823,19/11/2020,"Avenida Anápolis , Goiânia",GO
266,ALLENASAL 55MCG PU NASSP BT1 M17 S BR,SANOFI MEDLEY,9H192NA,2 CARTUCHO,30.360,zero,36.936,17259803,25/11/2020,"Avenida Anápolis , Goiânia",GO
267,ALLENASAL 55MCG/PU NASSP BT1 M17 BR,SANOFI MEDLEY,9H190NA,432 CARTUCHOS,47643,43611,000128355,0250775/2020,02/04/2020,Avenida Plácido Hugo  de Oliveira 2398,-
